Band,Album,Genre,Image URL,Spotify URL,Bandcamp URL,Bandcamp Image URL
We Are The Empty,THE DESERT,alternative metal / alternative rock / metal,https://i.scdn.co/image/ab67616d0000b2739da71443ff90f271d4867354,https://open.spotify.com/album/5TRyO99VoE8GSOhFJy5jVe,https://wearetheempty.bandcamp.com/album/we-are-the-empty,https://f4.bcbits.com/img/a4145894950_7.jpg
I-Exist,Consciousness,alternative metal / electronic / alternative rock,https://i.scdn.co/image/ab67616d0000b273673cccd33baa305d69f3ff18,https://open.spotify.com/album/5cCuTZxJiNhEKkIn4Hk41t,https://iexistband.bandcamp.com/album/humanity-vol-iv,https://f4.bcbits.com/img/a0633011288_7.jpg
Twelve Foot Ninja,Mutant Dreams and Face Transplants: An Acoustic Experience,alternative metal / experimental / Progressive metal,https://i.scdn.co/image/ab67616d0000b273a1805a31adb8dbe57dd3592f,https://open.spotify.com/album/4lJa4BPNw84RTHWKPvKVBt,https://twelvefootninja.bandcamp.com/album/outlier,https://f4.bcbits.com/img/a3930376987_7.jpg
Viza,Live Trabendo,alternative metal / folk rock,https://i.scdn.co/image/ab67616d0000b27352338b129a77b8426a014a62,https://open.spotify.com/album/6RuEfVoBWnf5qXsxY35e2S,https://viza27.bandcamp.com/album/disorder-ep,https://f4.bcbits.com/img/a3942960523_7.jpg
Tremonti,The End Will Show Us How,alternative metal / hard rock / metal,https://i.scdn.co/image/ab67616d0000b273cf16dd0662d88255cdd3bd57,https://open.spotify.com/album/0tQNVwSxVYCwaEa8HfHCd4,Not found,Not found
Helmet,Move On,alternative metal / metal / hardcore,https://i.scdn.co/image/ab67616d0000b273ea4f031b9f4eaee758db0d70,https://open.spotify.com/album/5l1YqRO0Fq2WxIpX0G0lgh,Not found,Not found
Helmet,Left,alternative metal / metal / hardcore,https://i.scdn.co/image/ab67616d0000b273d5532c724d2ebbd61f74dab8,https://open.spotify.com/album/4ejmUTypA9eTi4kAGNH9nL,Not found,Not found
Helmet,Live and Rare,alternative metal / metal / hardcore,https://i.scdn.co/image/ab67616d0000b2731fab7826b447d5c86adc3c53,https://open.spotify.com/album/23LB0tzYvazXNVnYL1OZbo,Not found,Not found
Helmet,Dead to the World,alternative metal / metal / hardcore,https://i.scdn.co/image/ab67616d0000b27369c1d1b34fd5a984bd63a41c,https://open.spotify.com/album/0ntWTKVclNImxOTIOaDPx2,Not found,Not found
Helmet,Seeing Eye Dog,alternative metal / metal / hardcore,https://i.scdn.co/image/ab67616d0000b27395e81750a2724019d6f4238d,https://open.spotify.com/album/59dAspZDf4LjLpQ4OKVVz4,Not found,Not found
